exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,is_exempt,is_invalidated,note,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point,related_links,diagram_id
2024,令和6年度（学科・三答択）,1,single,ライフプランニングと資金計画,FP3級;学科;三答択,"一定の利率で複利運用しながら一定期間経過後に目標とする額を得るために必要な毎
年の積立額を試算する際、目標とする額に乗じる係数は、 （   ）である。",,,,,,現価係数,資本回収係数,減債基金係数,,3,FALSE,FALSE,,正解は3です。一定期間後の目標額を作るために毎年いくら積み立てればよいかを求める場合は、減債基金係数を使います。目標額に減債基金係数を乗じることで、必要な毎年の積立額を試算できます。,,,,,,
2024,令和6年度（学科・三答択）,2,single,ライフプランニングと資金計画,FP3級;学科;三答択,"全国健康保険協会管掌健康保険の傷病手当金の支給期間は、同一の傷病に関して、そ
の支給開始日から通算して最長で（   ）である。",,,,,,１年,１年６カ月,２年,,2,FALSE,FALSE,,正解は2です。健康保険の傷病手当金の支給期間は、同一の傷病について、支給開始日から通算して最長1年6カ月です。現在は暦の期間ではなく、支給された期間を通算する扱いです。,,,,,,
2024,令和6年度（学科・三答択）,3,single,ライフプランニングと資金計画,FP3級;学科;三答択,"60歳０カ月で老齢基礎年金の繰上げ支給の請求をし、支給開始を60カ月繰り上げた場
合、老齢基礎年金の減額率は（   ）となる。",,,,,,24％,42％,60％,,1,FALSE,FALSE,,正解は1です。老齢基礎年金の繰上げ受給による減額率は、1カ月当たり0.4％です。60カ月繰り上げると、0.4％×60カ月＝24％の減額となります。,,,,,,
2024,令和6年度（学科・三答択）,4,single,ライフプランニングと資金計画,FP3級;学科;三答択,"遺族基礎年金を受給することができる遺族の範囲は、国民年金の被保険者等の死亡の
当時、 その者によって生計を維持され、 かつ、 所定の要件を満たす （   ） とされる。",,,,,,子のある配偶者、子,子のある妻、子,子のある配偶者、子、父母,,1,FALSE,FALSE,,正解は1です。遺族基礎年金を受給できる遺族は、死亡した人に生計を維持されていた子のある配偶者、または子です。父母や祖父母は遺族基礎年金の受給対象ではありません。,,,,,,
2024,令和6年度（学科・三答択）,5,single,ライフプランニングと資金計画,FP3級;学科;三答択,"住宅ローンの元利均等返済方式と元金均等返済方式を比較した場合、 借入額、 金利、借
入期間等の条件が同一であれば、通常、総返済額は（   ）。",,,,,,元利均等返済方式のほうが多くなる,元金均等返済方式のほうが多くなる,同じである,,1,FALSE,FALSE,,正解は1です。元利均等返済は毎回の返済額が一定ですが、返済当初は利息部分が多く、元金の減り方が遅くなります。そのため、同じ借入額・金利・期間なら、通常、総返済額は元金均等返済より元利均等返済の方が多くなります。,,,,,,
2024,令和6年度（学科・三答択）,6,single,リスク管理,FP3級;学科;三答択,"国内で事業を行う生命保険会社が破綻した場合、生命保険契約者保護機構による補償
の対象となる保険契約については、高予定利率契約を除き、破綻時の（   ）の90％
まで補償される。",,,,,,解約返戻金相当額,責任準備金等,既払込保険料相当額,,2,FALSE,FALSE,,正解は2です。生命保険会社が破綻した場合、生命保険契約者保護機構により、高予定利率契約を除き、破綻時の責任準備金等の90％までが補償されます。保険金額や既払込保険料の90％ではありません。,,,,,,
2024,令和6年度（学科・三答択）,7,single,リスク管理,FP3級;学科;三答択,"生命保険の保険料は、 （ ① ） および収支相等の原則に基づき、 予定死亡率、 （ ② ）、予
定事業費率の３つの予定基礎率を用いて計算される。",,,,,,① 大数の法則    ② 予定利率,① 適合性の原則   ② 予定利率,① 大数の法則    ② 予定損害率,,1,FALSE,FALSE,,正解は1です。生命保険料は、大数の法則および収支相等の原則に基づき、予定死亡率、予定利率、予定事業費率の3つの予定基礎率を用いて計算されます。,,,,,,
2024,令和6年度（学科・三答択）,8,single,リスク管理,FP3級;学科;三答択,"地震保険の保険金額は、火災保険の保険金額の30％から50％までの範囲内で設定する
が、居住用建物については（ ① ） 、生活用動産（家財）については（ ② ）が上限
となる。",,,,,,"① 1,000万円   ②  200万円","① 3,000万円   ②  500万円","① 5,000万円   ② 1,000万円",,3,FALSE,FALSE,,"正解は3です。地震保険の保険金額は、主契約である火災保険の保険金額の30％から50％の範囲内で設定します。ただし、居住用建物は5,000万円、家財は1,000万円が上限です。",,,,,,
2024,令和6年度（学科・三答択）,9,single,リスク管理,FP3級;学科;三答択,"がん保険では、 一般に、 （   ） 程度の免責期間が設けられており、 この期間中に
がんと診断確定されたとしても、がん診断給付金は支払われない。",,,,,,30日間,60日間,90日間,,3,FALSE,FALSE,,正解は3です。がん保険では、一般に契約から90日程度の免責期間が設けられています。この期間中にがんと診断確定された場合、がん診断給付金は支払われません。,,,,,,
2024,令和6年度（学科・三答択）,10,single,リスク管理,FP3級;学科;三答択,"生命保険契約において、 契約者 （＝保険料負担者） および死亡保険金受取人がＡさん、
被保険者がＡさんの父親である場合、Ａさんの父親の死亡によりＡさんが受け取る死亡
保険金は、 （   ）の課税対象となる。",,,,,,贈与税,相続税,所得税,,3,FALSE,FALSE,,正解は3です。契約者・保険料負担者と死亡保険金受取人がAさんで、被保険者がAさんの父親の場合、Aさんが受け取る死亡保険金は所得税・住民税の課税対象です。保険料負担者と受取人が同一だからです。,,,,,,
