term,category,short_def,tier,importance,fp2_past_hits,fp3_past_hits,audit_note
ライフプランニング,ライフプランニングと資金計画,個人や家族の生涯における収支・資産・リスクを時系列で整理し、目標達成に向けた計画を立てること。,C,C,0,0,過去問未出・優先度低
ライフイベント,ライフプランニングと資金計画,結婚・出産・住宅購入・子の進学・退職など、生涯で発生する主要な出来事。資金計画の基点となる。,A,B,1,0,FP2学科過去問に1回出現
キャッシュフロー表,ライフプランニングと資金計画,年ごとの収入・支出・貯蓄残高を一覧にした表。将来の資金不足を事前に把握するために使う。,A,B,0,9,FP2学科範囲の中核語（シラバス）; FP3過去問に9回
個人バランスシート,ライフプランニングと資金計画,ある時点の資産（持っているもの）と負債（借金）を対照させ、純資産を確認する表。,A,B,0,0,FP2学科範囲の中核語（シラバス）
可処分所得,ライフプランニングと資金計画,給与収入から所得税・住民税・社会保険料を差し引いた、実際に自由に使える手取り収入。,A,B,0,3,FP3過去問に3回（FP2未出）
6つの係数,ライフプランニングと資金計画,終価係数・現価係数・年金終価係数・年金現価係数・減債基金係数・資本回収係数の総称。将来の資産額や必要積立額の計算に使う。,A,B,0,0,FP2学科範囲の中核語（シラバス）
終価係数,ライフプランニングと資金計画,現在の元本を一定利率で複利運用したときの将来の金額を求める係数。,A,B,0,3,FP2学科範囲の中核語（シラバス）; FP3過去問に3回
現価係数,ライフプランニングと資金計画,将来の目標金額を得るために必要な現在の元本を求める係数。,A,B,1,3,FP2学科過去問に1回出現
年金終価係数,ライフプランニングと資金計画,毎年一定額を積み立てたときの将来の合計金額を求める係数。,A,B,0,1,FP2学科範囲の中核語（シラバス）; FP3過去問に1回
年金現価係数,ライフプランニングと資金計画,毎年一定額を受け取るために必要な現在の元本を求める係数。,A,B,1,1,FP2学科過去問に1回出現
減債基金係数,ライフプランニングと資金計画,将来の目標金額を得るために毎年必要な積立額を求める係数。,A,B,0,5,FP2学科範囲の中核語（シラバス）; FP3過去問に5回
資本回収係数,ライフプランニングと資金計画,現在の元本を一定期間で均等回収するための毎年の受取額を求める係数。,A,B,1,3,FP2学科過去問に1回出現
公的医療保険,ライフプランニングと資金計画,病気・けがの治療費を国民全体で負担し合う制度。健康保険・国民健康保険・後期高齢者医療制度などがある。,B,B,0,1,FP3過去問に1回（FP2未出）
健康保険,ライフプランニングと資金計画,主に会社員とその扶養家族が加入する公的医療保険。保険料は労使折半。,A,A,5,9,FP2学科過去問に5回出現
国民健康保険,ライフプランニングと資金計画,自営業者・フリーランス・無職者などが加入する公的医療保険。市区町村が運営する。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
後期高齢者医療制度,ライフプランニングと資金計画,75歳以上（一定の障害がある場合は65歳以上）を対象とした独立した医療保険制度。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
高額療養費制度,ライフプランニングと資金計画,1か月の医療費の自己負担額が一定の上限を超えた場合に、超過分が払い戻される制度。,A,B,0,0,FP2学科範囲の中核語（シラバス）
傷病手当金,ライフプランニングと資金計画,健康保険の被保険者が病気・けがで連続3日以上休業した場合に、4日目から最長1年6か月支給される給付金。,A,B,1,2,FP2学科過去問に1回出現
出産育児一時金,ライフプランニングと資金計画,健康保険の被保険者が出産した際に支給される一時金。原則50万円。,A,B,1,0,FP2学科過去問に1回出現
公的介護保険,ライフプランニングと資金計画,介護が必要な状態になった際に介護サービスの費用を給付する社会保険。40歳以上が加入。,A,B,0,2,FP3過去問に2回（FP2未出）
要介護認定,ライフプランニングと資金計画,介護保険サービスを利用するために必要な認定。要支援1〜2・要介護1〜5の7段階がある。,B,B,0,0,過去問未出（範囲内の基礎語として B 維持）
公的年金,ライフプランニングと資金計画,国が運営する老後・障害・死亡に備えた社会保険。国民年金と厚生年金の2階建て構造。,A,A,5,5,FP2学科過去問に5回出現
国民年金,ライフプランニングと資金計画,20歳以上60歳未満の全員が加入する公的年金の基礎部分（1階部分）。,A,A,20,6,FP2学科過去問に20回出現
厚生年金,ライフプランニングと資金計画,会社員・公務員が加入する公的年金の上乗せ部分（2階部分）。保険料は労使折半。,A,A,27,10,FP2学科過去問に27回出現
老齢基礎年金,ライフプランニングと資金計画,国民年金の保険料を原則10年以上納めた人が65歳から受け取れる年金。,A,A,9,12,FP2学科過去問に9回出現
老齢厚生年金,ライフプランニングと資金計画,厚生年金に加入していた人が老齢基礎年金に上乗せして受け取れる年金。,A,A,9,2,FP2学科過去問に9回出現
障害基礎年金,ライフプランニングと資金計画,国民年金の被保険者が障害等級1級・2級に認定された場合に受け取れる年金。,A,B,2,0,FP2学科過去問に2回出現
遺族基礎年金,ライフプランニングと資金計画,国民年金の被保険者が死亡した際に、子のある配偶者または子に支給される年金。,A,B,2,7,FP2学科過去問に2回出現
繰上げ受給,ライフプランニングと資金計画,老齢年金を65歳より早く受け取ること。1か月あたり0.4%減額される。,A,B,0,5,FP2学科範囲の中核語（シラバス）; FP3過去問に5回
繰下げ受給,ライフプランニングと資金計画,老齢年金を65歳より遅く受け取ること。1か月あたり0.7%増額される。最大75歳まで繰下げ可能。,A,B,0,4,FP2学科範囲の中核語（シラバス）; FP3過去問に4回
iDeCo（個人型確定拠出年金）,ライフプランニングと資金計画,自分で掛金を拠出・運用し、原則60歳以降に受け取る私的年金制度。掛金は全額所得控除。,A,B,0,2,FP2学科範囲の中核語（シラバス）; FP3過去問に2回
企業年金,ライフプランニングと資金計画,会社が従業員のために設ける上乗せ年金制度。確定給付企業年金と確定拠出年金（企業型）がある。,A,B,1,0,FP2学科過去問に1回出現
雇用保険,ライフプランニングと資金計画,失業・育児・介護などの際に給付を行う社会保険。労働者と事業主が保険料を負担する。,A,B,2,0,FP2学科過去問に2回出現
基本手当（失業給付）,ライフプランニングと資金計画,雇用保険の被保険者が失業した際に受け取れる給付。受給には離職票の提出とハローワークへの求職申込が必要。,A,A,4,0,FP2学科過去問に4回出現
労働者災害補償保険（労災保険）,ライフプランニングと資金計画,業務上・通勤途上の負傷・疾病・死亡に対して給付する保険。保険料は全額事業主負担。,A,A,4,0,FP2学科過去問に4回出現
住宅ローン,ライフプランニングと資金計画,住宅の購入・建築・リフォームのために金融機関から借り入れる長期ローン。,A,A,14,13,FP2学科過去問に14回出現
フラット35,ライフプランニングと資金計画,住宅金融支援機構と民間金融機関が提携する全期間固定金利の住宅ローン。,A,A,5,2,FP2学科過去問に5回出現
教育ローン,ライフプランニングと資金計画,子の教育資金を調達するためのローン。国の教育ローン（日本政策金融公庫）と民間ローンがある。,A,B,0,2,FP3過去問に2回（FP2未出）
奨学金,ライフプランニングと資金計画,学生の学費・生活費を支援する制度。日本学生支援機構の給付型・貸与型が代表的。,C,C,0,0,過去問未出・優先度低
